# DRS4 export. File index 0, run_id=./medidas/run_20260911_121022
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-11 12:10:22.449  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
1190.332    -3.2    12.7   -13.5
1191.992   -11.0    10.0   -16.6
1193.652   -17.8    -5.9   -22.9
1195.312   -23.5   -35.2     4.9
1196.973    11.2   -11.6     5.1
1198.633    19.0    14.5     2.6
1200.293     6.1    12.2    -4.8
1201.953   -14.4    12.2   -22.5
1203.613   -33.3   -18.3   -25.2
1205.273   -37.1   -40.9    -9.7
1206.934    13.4   -13.8    10.8
1208.594    25.3    21.1    -0.1
1210.254    12.6    14.9    -3.1
1211.914    -4.1     7.4   -13.0
1213.574   -32.2   -47.5    -1.7
1215.234   -36.2   -48.1   -10.4
1216.895    33.0    22.2     4.5
