# DRS4 export. File index 0, run_id=./medidas/run_20260925_105124
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #2  ts=2026-09-25 10:51:28.194  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
645.801   -36.6   -26.7   -17.0
647.461    -9.7   -22.5    -5.0
649.121    22.1   -18.6    -4.0
650.781    29.6     3.1     4.0
652.441     0.6    27.2     0.8
654.102   -34.6    -3.7   -26.3
655.762   -25.4   -25.9    -6.1
657.422   -18.2   -26.6    -7.0
659.082    23.9   -19.3    -8.4
660.742    17.6     5.5    -4.4
662.402     4.9    18.4     1.3
664.062   -37.0    -3.1   -16.5
665.723   -34.7   -11.8   -27.6
667.383    -6.6   -23.5    -3.1
669.043    -1.3   -22.4     1.8
670.703    20.9    -9.2    -9.2
672.363    -2.0    16.9     0.0
674.023   -25.2    13.8    -3.6
675.684   -19.7   -29.8   -19.2
677.344   -10.5   -29.5    -4.7
679.004    -6.9   -27.4    -3.1
680.664    15.7   -12.8    -5.8
682.324    -1.2     8.4     3.6
683.984   -18.0    12.8   -10.3
685.645   -26.6     2.2   -22.8
687.305   -11.6   -14.6     0.3
688.965     0.6   -27.5   -19.7
690.625     4.3    -2.6     9.4
692.285     4.2    -1.4     8.2
693.945    -5.6    22.7    15.2
695.605    -9.8     0.4   -26.3
697.266   -12.5   -11.6   -13.9
698.926   -18.3    -7.1     0.4
700.586    -9.6   -36.1   -34.5
702.246     2.9   -33.4   -16.5
703.906     3.7    28.2    14.2
705.566     3.5    29.9     6.5
707.227   -17.2   -11.4   -13.9
708.887   -23.1    -8.9     1.5
710.547   -12.0   -35.1   -26.7
712.207    -2.9   -39.6   -10.8
713.867     7.7    18.5    17.2
715.527     5.7    25.1    -5.1
717.188    -9.3     6.5   -17.4
718.848   -21.2   -23.3   -19.3
720.508   -22.2   -31.7   -28.5
722.168    -2.3   -32.7    -6.7
723.828    10.6    21.0     3.1
725.488    -0.7    17.6   -19.8
727.148   -13.2    13.6    -5.1
728.809   -19.6    -2.6    -3.8
730.469   -15.7   -53.7   -39.5
732.129   -14.5   -52.6   -31.6
733.789     7.6    15.1    24.1
735.449     8.2    18.4   -15.4
737.109    -5.8     6.5   -25.4
738.770   -25.5     0.0    -2.3
740.430   -23.0   -29.1   -18.3
742.090    -6.5   -53.4   -29.7
743.750    14.8    13.8    25.7
745.410     7.9    31.8    11.5
747.070   -12.9     6.7   -28.4
748.730   -22.5    -4.3   -20.0
750.391   -12.7   -37.7   -18.6
752.051     5.8   -46.5   -26.0
753.711    14.9   -26.9    -6.3
755.371     1.9    27.8    11.8
757.031   -16.1    11.6   -19.6
758.691   -20.3    -1.9   -20.8
760.352   -11.8   -34.4   -18.7
762.012     6.7   -29.7    -8.3
763.672    10.3    -4.9     6.0
765.332    -0.6    20.8     0.6
766.992   -16.2     7.8    -9.6
768.652   -24.7    -6.4   -14.3
770.312    -7.4   -37.8   -19.9
771.973    -4.6   -37.4   -18.9
773.633    19.4     7.5    18.8
775.293     1.8    13.9   -10.5
776.953   -11.1     7.0   -24.6
778.613   -29.6    -1.4    -4.2
780.273   -16.9   -27.2   -23.7
781.934     8.7   -32.9    -8.9
783.594    10.8    15.9    18.0
785.254    -7.0     6.6   -18.9
786.914    -7.4     4.8   -20.5
788.574   -24.9   -11.1    -9.9
790.234   -16.7   -23.3   -24.2
791.895     7.9   -30.4   -10.3
793.555     1.9     1.1    13.1
795.215    -7.3    17.8    -6.2
796.875    -5.4     2.4    -8.2
798.535   -14.6   -10.5   -10.4
800.195   -19.2   -28.1   -27.6
801.855    -7.0   -25.4    -6.2
803.516    -1.9     9.1    -0.4
805.176    -2.9    11.0    -5.9
806.836     0.2     6.9     3.2
808.496    -2.3     1.8     6.2
810.156   -10.6   -18.3   -23.7
811.816   -14.4   -34.6   -20.5
813.477   -11.3    -2.5     7.7
815.137    -6.8    -0.6   -22.5
816.797     0.9     3.3   -11.0
818.457     5.7    17.2    19.2
820.117     0.0   -26.4   -27.2
821.777   -27.7   -26.4    -8.2
823.438   -18.8    -0.3   -20.0
825.098   -21.3     0.2   -16.3
826.758    17.5    17.9    11.8
828.418    17.4     5.3     3.3
830.078    -7.1   -32.8   -26.6
831.738   -15.4   -39.2   -29.1
833.398   -41.9   -10.4    -9.0
835.059   -19.4     4.2   -10.2
836.719    27.4    22.1     9.0
838.379    28.1    13.9    15.3
840.039   -12.4   -38.2   -25.1
841.699   -29.8   -38.9   -28.4
843.359   -45.9   -10.1   -17.9
845.020   -18.4     7.1   -11.9
846.680    34.7    26.2    20.0
848.340    34.3    12.3    18.2
850.000    12.1   -21.7   -11.5
851.660   -28.9   -36.8   -23.2
853.320   -53.6   -20.4   -16.8
854.980   -25.3     1.7   -18.7
856.641     9.2    17.6     6.3
858.301    31.8     2.9     5.1
859.961    29.6    -3.5    -1.7
861.621   -36.1   -24.9    -6.3
863.281   -47.6   -14.1   -19.1
864.941   -45.4   -11.6   -35.9
866.602    10.5    21.0    19.7
868.262    19.7    22.1    21.2
869.922    28.2   -21.9   -19.4
871.582    23.4   -31.9   -15.2
873.242   -39.1    -8.3    -8.6
874.902   -23.4    -1.9   -20.6
876.562   -28.0    -3.6   -24.3
878.223    20.8    -5.5    -2.8
879.883    25.1   -10.0    -7.1
881.543    18.2   -26.9     0.3
883.203   -30.6     3.3   -16.0
884.863   -38.7    -5.2   -32.3
886.523   -29.3     2.7    -1.3
888.184     0.8    -4.1    -8.0
889.844    27.2   -28.7   -14.4
891.504    24.5   -15.9     7.2
893.164     5.4     5.0    10.6
894.824   -14.6     7.9   -12.1
896.484   -43.0    -6.2   -22.3
898.145   -19.8    -5.7    -9.6
899.805    14.9   -26.3   -12.1
901.465    28.4   -20.9     4.0
903.125    19.8    -0.7    15.2
904.785   -16.5     7.5   -16.7
906.445   -40.1     3.9   -26.5
908.105   -38.0   -16.0   -14.6
909.766    -4.6   -29.2    -7.1
911.426    28.0   -13.6     1.6
913.086     7.3    14.4     8.1
914.746   -31.4    12.6   -20.1
916.406   -40.1   -24.2   -21.8
918.066   -30.8   -30.8   -16.9
919.727     7.5   -26.4   -12.2
921.387    32.9    -8.4     0.2
923.047    -3.6    18.6     1.9
924.707   -20.1     8.8   -19.6
926.367   -32.3    -5.2   -20.1
928.027   -33.3   -20.3   -17.4
929.688     9.1   -26.0   -12.4
931.348    22.7   -11.1     1.1
933.008    11.1    13.3     5.2
934.668    -9.9     8.5   -18.8
936.328   -28.8    -3.4   -11.0
937.988   -27.4   -18.0   -15.1
939.648     8.2   -29.8   -19.5
941.309    18.1   -23.2    -2.4
942.969    -6.1     9.7   -13.3
944.629   -11.7    -1.1   -27.2
946.289   -26.5    -7.3    -9.5
947.949   -15.6    -4.7    -2.6
949.609    15.7   -28.1   -17.1
951.270     7.3    -2.9     6.2
952.930    -9.4     6.0   -12.0
954.590   -23.4    -8.5   -22.4
956.250   -10.6    -8.2    -7.4
957.910    -3.0   -16.0   -21.0
959.570    10.3   -20.0    -8.8
961.230     0.4     4.3     5.9
962.891    -6.8    -0.8   -11.1
964.551   -23.2   -14.4   -23.8
966.211   -29.9   -11.0   -11.8
967.871    -5.8    -3.5   -15.8
969.531    14.6   -20.1    -9.0
971.191    13.1     2.1     7.5
972.852     8.1     0.8    -0.3
974.512   -36.7   -13.4   -21.8
976.172     2.8   -11.7   -18.9
977.832     4.4   -13.3   -18.1
979.492    20.6   -22.8   -11.0
981.152    16.7    -6.3    11.0
982.812   -12.5    -8.5   -21.2
984.473   -29.6   -12.5   -26.4
986.133   -21.1    -0.2    -4.7
987.793    -2.1   -17.0   -18.0
989.453    14.1   -21.8   -15.3
991.113    14.0    -2.0     9.9
992.773   -13.9    -5.3   -22.9
994.434   -21.7    -4.1   -18.8
996.094   -31.4    -1.2   -12.6
997.754    -9.9   -21.7   -17.1
999.414    19.3   -17.9    -3.9
1001.074    25.2     4.8    13.5
1002.734    14.4     4.9     4.7
1004.395   -16.4     1.6   -20.7
1006.055   -47.5    -9.5   -12.0
1007.715    -9.8   -29.8   -15.5
1009.375    26.1   -13.7     1.6
1011.035    28.2     8.6    12.0
1012.695    12.1    10.1     0.1
1014.355   -21.6     2.3   -14.5
1016.016   -41.5   -10.4   -23.6
1017.676   -41.4   -29.6   -32.2
1019.336    -3.8   -27.1    -8.2
1020.996    33.3     4.6    20.1
1022.656    34.4    13.8     4.3
1024.316   -32.1    -0.8   -18.6
1025.977   -49.0   -14.8   -24.6
1027.637   -21.7   -32.6   -23.2
1029.297    23.5    -2.4    16.3
1030.957    34.2    11.6    10.9
1032.617    27.3    12.3    -0.2
1034.277    -5.4     3.6    -4.0
1035.938   -52.2   -12.1   -19.9
1037.598   -27.6   -39.3   -32.5
1039.258   -15.6   -34.5   -21.8
1040.918    26.1    18.9     9.5
1042.578    10.5     6.9    -2.0
1044.238     3.8     6.7    -2.0
1045.898   -37.6   -20.7   -29.3
1047.559   -24.9   -41.9   -27.8
